states,tags,notes,date,time
New York,"york state,new york state",New York State Homes and Community Renewal ,9/9/15,13:48
New York,"york state,new york state",New York State Local Government IT Directors Association (NYSLGITDA) ,7/2/15,10:59
New York,"york state,new york state",New York State Police Recruitment Center ,1/3/14,13:14
Oregon,historical society,Oregon Historical Society ,6/20/14,7:38
,human services,OK dept of human services ,8/28/15,18:21
North Carolina,,North Carolina Division of Environmental Assistance and Customer Service   ,9/15/15,17:43
South Carolina,,South Carolina Ports Authority ,6/6/13,18:08
Washington,washington state,Washington State Potato Commission ,11/17/14,7:11
North Carolina,"north carolina department,carolina department,department of cultural","Queen Anne's Revenge, a project of the http://www.qaronline.org/ North Carolina Department of Cultural Resources to educate the next generation on colonial life ",11/20/13,17:34
,"department of public,nc department","Ready NC, NC Department of Public Safety ",1/14/14,14:35
,state board,The State Board of Refrigeration Examiners ,9/15/15,17:47
Florida,department of education,Division of Vocational Rehabilitation - Florida Department of Education ,7/1/15,18:43
South Carolina,,"Santee Cooper, also known officially from the 1930s as the South Carolina Public Service Authority, is South Carolina's state-owned electric and water utility that came into being during the New Deal. ",8/25/14,16:04
New Mexico,,New Mexico Office of the State Auditor ,7/16/14,5:38
Florida,state board,"Florida State Board of Administration, created by the Florida Constitution and is governed by a three-member Board of Trustees (Trustees), comprised of the Governor as Chair, the Chief Financial Officer and the Attorney General. ",8/25/14,16:59
Washington,"state board,washington state",Washington State Board for Community and Technical Colleges ,4/8/14,18:22
South Carolina,,South Carolina Education Lottery ,6/12/13,14:24
South Carolina,,South Carolina Emergency Management Division ,8/28/15,15:20
,national guard,SC National Guard ,8/28/15,15:24
North Carolina,"department of public,north carolina department,carolina department","School Planning Section, North Carolina Department of Public Instruction ",8/25/14,15:01
South Carolina,,South Carolina Independent Living Council (SCILC) ,9/22/15,15:16
South Carolina,,South Carolina Independent Living Council (SCILC) ,9/22/15,15:17
South Carolina,,"The South Carolina EPSCoR/IDeA Program, CCCR COBRE, and the USC School of Medicine Instrumentation Resource Facility ",8/28/15,15:28
South Carolina,,South Carolina School for the Deaf and Blind ,8/25/14,15:03
South Carolina,,South Carolina Statewide Independent Living Council (SILC) ,9/22/15,15:19
